종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
282330,BGF리테일,"181,900",500,0.28,"5,130,036,900","3,143,942,501,400"
138930,BNK금융지주,"6,770",-20,0.29,"5,083,698,640","2,206,581,615,420"
001040,CJ,"83,500",700,0.85,"3,431,309,900","2,436,279,333,000"
000120,CJ대한통운,"83,300",-500,0.6,"2,999,301,900","1,900,268,255,200"
097950,CJ제일제당,"327,500","3,000",0.92,"22,553,521,000","4,930,245,915,000"
005830,DB손해보험,"73,900","1,400",1.93,"15,116,208,000","5,232,120,000,000"
000990,DB하이텍,"46,200",-850,1.81,"23,088,617,450","2,051,214,765,600"
000210,DL,"58,300",-600,1.02,"4,139,503,000","1,221,728,037,200"
375500,DL이앤씨,"34,250",-950,2.7,"6,000,196,150","1,325,256,587,750"
383220,F&F,"142,900","1,500",1.06,"13,379,095,000","5,474,081,017,500"
114090,GKL,"19,990",-360,1.77,"6,209,359,350","1,236,494,843,300"
078930,GS,"42,200",50,0.12,"4,423,918,200","3,921,028,951,600"
006360,GS건설,"23,250",-800,3.33,"18,587,407,150","1,989,769,642,500"
007070,GS리테일,"29,750",-150,0.5,"4,327,824,150","3,115,358,179,500"
294870,HDC현대산업개발,"10,600",-200,1.85,"2,109,785,260","698,617,698,000"
267250,HD현대,"60,100",0,0,"5,735,792,400","4,747,484,408,500"
204320,HL만도,"46,650",50,0.11,"6,725,534,350","2,190,549,648,000"
011200,HMM,"23,050",250,1.1,"54,296,234,000","11,272,360,382,800"
175330,JB금융지주,"9,290",40,0.43,"3,941,672,460","1,829,971,085,260"
105560,KB금융,"50,700",700,1.4,"68,386,411,250","20,731,081,347,600"
002380,KCC,"251,000","-7,000",2.71,"11,114,622,500","2,230,504,221,000"
016380,KG스틸,"8,610",-410,4.55,"27,992,768,340","861,076,603,170"
030200,KT,"30,450","-1,250",3.94,"135,900,881,900","7,950,854,553,600"
033780,KT&G,"90,300",0,0,"28,425,123,520","12,397,512,479,100"
003550,LG,"84,800",400,0.47,"23,412,540,476","13,339,124,206,400"
034220,LG디스플레이,"15,240",-460,2.93,"24,472,372,610","5,453,111,268,000"
051900,LG생활건강,"672,000","-3,000",0.44,"30,722,304,000","10,495,428,384,000"
373220,LG에너지솔루션,"511,000","4,000",0.79,"123,155,230,000","119,574,000,000,000"
032640,LG유플러스,"10,910",60,0.55,"12,408,086,490","4,763,429,948,510"
011070,LG이노텍,"283,000","-7,500",2.58,"62,780,376,000","6,697,791,281,000"
066570,LG전자,"113,400","-1,300",1.13,"80,989,023,200","18,557,662,107,600"
051910,LG화학,"669,000","1,000",0.15,"97,814,598,000","47,226,277,467,000"
079550,LIG넥스원,"77,300","2,400",3.2,"25,661,155,600","1,700,600,000,000"
006260,LS,"67,800",-900,1.31,"5,741,222,400","2,183,160,000,000"
010120,LS ELECTRIC,"50,500",-600,1.17,"5,678,148,500","1,515,000,000,000"
001120,LX인터내셔널,"32,650",-50,0.15,"4,177,972,950","1,265,514,000,000"
035420,NAVER,"208,000","-5,500",2.58,"178,204,688,500","34,122,209,680,000"
005940,NH투자증권,"9,280",0,0,"2,133,359,660","3,077,859,746,880"
010060,OCI,"93,900","-3,100",3.2,"27,305,257,700","2,239,455,936,900"
178920,PI첨단소재,"34,850",-950,2.65,"5,686,912,250","1,023,416,321,700"
005490,POSCO홀딩스,"322,000","-9,500",2.87,"247,515,253,000","27,231,936,060,000"
010950,S-Oil,"82,100",700,0.86,"14,619,815,300","9,243,047,223,200"
034730,SK,"180,400","-2,100",1.15,"34,366,696,100","13,376,538,951,600"
011790,SKC,"93,200",-900,0.96,"21,163,172,400","3,529,325,373,600"
001740,SK네트웍스,"4,130",-20,0.48,"2,723,941,305","1,025,014,982,110"
302440,SK바이오사이언스,"70,900","-1,000",1.39,"13,861,756,100","5,443,988,861,400"
326030,SK바이오팜,"65,500","-1,000",1.5,"6,186,525,700","5,129,517,875,000"
402340,SK스퀘어,"39,300","1,450",3.83,"35,905,252,067","5,559,675,540,300"
361610,SK아이이테크놀로지,"65,700",-100,0.15,"11,058,054,000","4,684,251,794,400"
096770,SK이노베이션,"155,100","-1,400",0.89,"58,128,154,400","14,341,408,976,400"
285130,SK케미칼,"81,300",-300,0.37,"3,732,743,240","1,402,732,557,900"
017670,SK텔레콤,"45,100",200,0.45,"48,848,318,659","9,869,374,794,400"
000660,SK하이닉스,"91,000","-1,700",1.83,"230,723,303,704","66,248,215,215,000"
069260,TKG휴켐스,"19,390",-250,1.27,"1,018,804,050","792,635,821,320"
035250,강원랜드,"20,550",-100,0.48,"8,570,886,900","4,396,477,275,000"
010130,고려아연,"588,000","-8,000",1.34,"29,060,428,000","11,679,536,904,000"
011780,금호석유,"161,700",600,0.37,"18,625,545,400","4,740,124,250,400"
073240,금호타이어,"3,365",-20,0.59,"852,690,130","966,630,865,755"
000270,기아,"75,300","-1,100",1.44,"74,200,347,300","30,523,860,029,100"
024110,기업은행,"10,200",30,0.29,"7,770,831,410","8,133,743,863,800"
251270,넷마블,"63,000","-1,600",2.48,"19,794,428,400","5,415,070,626,000"
006280,녹십자,"120,400","-1,500",1.23,"4,235,928,400","1,407,059,175,200"
005250,녹십자홀딩스,"15,980",-80,0.5,"1,187,384,400","751,510,795,800"
004370,농심,"368,000","6,000",1.66,"5,759,553,000","2,238,412,256,000"
001680,대상,"20,050",0,0,"1,475,006,280","694,692,901,250"
047040,대우건설,"4,535",-60,1.31,"3,283,863,885","1,884,848,663,330"
042660,대우조선해양,"25,950",-50,0.19,"11,141,074,800","2,784,192,860,550"
003090,대웅,"17,880",-90,0.5,"1,426,824,540","1,039,578,602,400"
069620,대웅제약,"119,200",0,0,"10,563,489,700","1,381,119,740,000"
006650,대한유화,"179,900","-10,000",5.27,"17,694,749,600","1,169,350,000,000"
001440,대한전선,"1,501",-30,1.96,"16,271,157,366","1,867,953,986,509"
003490,대한항공,"23,050",0,0,"19,455,309,250","8,487,486,236,050"
192080,더블유게임즈,"46,800",400,0.86,"1,202,653,050","859,926,693,600"
001230,동국제강,"14,300",-310,2.12,"5,971,632,720","1,364,688,139,100"
026960,동서,"19,680",-220,1.11,"1,247,833,800","1,962,096,000,000"
006040,동원산업,"51,900",800,1.57,"4,620,402,400","2,594,100,313,500"
014820,동원시스템즈,"38,550","-1,300",3.26,"2,114,063,700","1,117,613,921,100"
000150,두산,"90,400",-700,0.77,"16,901,097,900","1,493,754,684,000"
241560,두산밥캣,"38,500",200,0.52,"9,362,476,300","3,859,592,891,000"
034020,두산에너빌리티,"16,320",-10,0.06,"70,692,897,250","10,417,187,098,560"
336260,두산퓨얼셀,"34,750",-500,1.42,"6,693,519,150","2,275,906,978,500"
032350,롯데관광개발,"13,990",-210,1.48,"7,459,133,420","1,026,981,417,500"
023530,롯데쇼핑,"87,400","-1,200",1.35,"4,516,512,500","2,472,437,187,000"
004000,롯데정밀화학,"59,400",-500,0.83,"3,206,209,200","1,532,520,000,000"
280360,롯데제과,"118,800","-1,200",1,"620,199,300","1,120,827,391,200"
004990,롯데지주,"30,850",-150,0.48,"2,500,848,150","3,236,449,961,450"
005300,롯데칠성,"170,100","-1,000",0.58,"3,513,522,800","1,578,338,168,400"
011170,롯데케미칼,"182,900","-4,000",2.14,"17,225,212,600","7,823,624,135,100"
138040,메리츠금융지주,"43,600","1,750",4.18,"41,104,952,650","7,597,071,972,000"
008560,메리츠증권,"6,810",150,2.25,"10,371,690,170","4,188,426,342,990"
009900,명신산업,"18,300",-400,2.14,"5,089,614,270","960,203,433,900"
006800,미래에셋증권,"7,140",70,0.99,"4,678,654,600","4,393,359,153,120"
003850,보령,"9,080",20,0.22,"1,038,300,430","623,705,200,000"
006400,삼성SDI,"680,000","-1,000",0.15,"136,596,283,000","46,759,880,400,000"
028260,삼성물산,"112,400",-700,0.62,"25,088,921,500","21,006,107,904,400"
207940,삼성바이오로직스,"783,000","-6,000",0.76,"30,725,679,000","55,729,242,000,000"
032830,삼성생명,"67,800",200,0.3,"12,521,300,500","13,560,000,000,000"
018260,삼성에스디에스,"126,800",-700,0.55,"9,856,515,400","9,811,505,040,000"
028050,삼성엔지니어링,"26,800",-100,0.37,"14,686,300,050","5,252,800,000,000"
009150,삼성전기,"147,500","-3,000",1.99,"41,973,626,400","11,017,320,160,000"
005930,삼성전자,"61,300",-700,1.13,"638,634,052,687","365,947,670,315,000"
010140,삼성중공업,"5,770",20,0.35,"20,624,287,770","5,077,600,000,000"
016360,삼성증권,"32,950",-300,0.9,"9,709,425,580","2,942,435,000,000"
029780,삼성카드,"30,500",-100,0.33,"1,338,377,100","3,533,696,175,500"
000810,삼성화재,"213,500","1,000",0.47,"20,791,918,313","10,114,527,699,500"
004490,세방전지,"51,300",-500,0.97,"4,013,892,800","718,200,000,000"
068270,셀트리온,"149,300",300,0.2,"71,736,165,900","21,024,349,857,000"
004170,신세계,"206,500","-1,000",0.48,"16,080,739,500","2,033,029,876,500"
031430,신세계인터내셔날,"22,850",-750,3.18,"4,611,410,850","815,745,000,000"
019170,신풍제약,"20,300",-250,1.22,"4,020,926,750","1,075,595,297,000"
055550,신한지주,"38,750",100,0.26,"52,672,476,838","19,715,413,673,750"
003410,쌍용C&E,"5,760",-30,0.52,"3,051,197,040","2,902,231,267,200"
112610,씨에스윈드,"66,900","1,400",2.14,"15,264,187,300","2,821,266,860,700"
002790,아모레G,"41,050",-250,0.61,"11,258,804,200","3,384,908,289,000"
090430,아모레퍼시픽,"144,800","-1,300",0.89,"18,385,869,000","8,469,751,503,200"
020560,아시아나항공,"14,150",120,0.86,"2,874,487,100","1,052,926,460,600"
010780,아이에스동서,"43,550",-400,0.91,"40,930,859,750","1,345,372,991,300"
137310,에스디바이오센서,"24,050","-1,050",4.18,"18,199,359,050","2,512,079,089,650"
005850,에스엘,"27,000",-450,1.64,"3,785,874,250","1,254,110,040,000"
012750,에스원,"56,000",-200,0.36,"2,156,294,700","2,127,953,968,000"
036570,엔씨소프트,"438,500","-14,000",3.09,"42,722,238,500","9,626,838,647,000"
111770,영원무역,"44,100",-800,1.78,"2,442,111,500","1,954,135,738,800"
000670,영풍,"640,000",0,0,"1,885,566,000","1,178,905,600,000"
007310,오뚜기,"446,500","-1,000",0.22,"827,277,000","1,789,496,095,000"
271560,오리온,"126,400","-3,400",2.62,"10,848,899,500","4,997,367,084,800"
001800,오리온홀딩스,"16,070",-60,0.37,"661,122,670","1,006,711,931,540"
